minggu_standar;tren_0;tren_1;tren_2;tren_3;tren_4;tren_5;tren_6;tren_7;tren_8;tren_9;tren_10;tren_11;tren_12;tren_13
2022-06-20;2;0.5;25;1.0;0.5;21;3;6.0;45;1.0;0;1.0;0;0
2022-06-27;2;3.0;24;2.0;0.5;21;2;6.0;35;1.0;0;1.0;0;0
2022-07-04;2;1.0;26;1.0;0.5;23;4;7.0;40;1.0;0;1.0;0;0
2022-07-11;2;1.0;27;2.0;0.5;20;5;8.0;53;1.0;0;1.0;0;2
2022-07-18;2;0.5;29;1.0;0.5;21;6;8.0;48;1.0;2;2.0;0;2
2022-07-25;2;1.0;30;1.0;0.5;21;7;7.0;48;1.0;1;2.0;6;3
2022-08-01;2;0.5;29;1.0;0.5;21;6;6.0;58;1.0;2;1.0;0;3
2022-08-08;2;0.5;29;1.0;0.5;20;5;6.0;66;1.0;0;1.0;0;2
2022-08-15;2;0.5;29;1.0;0.5;22;5;6.0;67;1.0;0;1.0;7;2
2022-08-22;2;1.0;29;1.0;0.5;24;5;5.0;64;1.0;0;1.0;0;11
2022-08-29;2;1.0;28;1.0;0.5;25;5;5.0;69;1.0;2;1.0;0;2
2022-09-05;2;0.5;30;1.0;0.5;25;4;4.0;57;1.0;0;1.0;0;2
2022-09-12;2;0.5;31;0.5;0.5;26;4;4.0;73;1.0;0;1.0;5;0
2022-09-19;2;0.5;31;0.5;0.5;25;3;4.0;66;1.0;0;0.5;0;0
2022-09-26;2;0.5;30;0.5;0.5;23;3;4.0;75;1.0;1;1.0;0;1
2022-10-03;2;0.5;31;0.5;0.5;22;3;4.0;76;1.0;0;1.0;0;3
2022-10-10;2;0.5;32;1.0;0.5;21;3;4.0;63;1.0;1;1.0;0;2
2022-10-17;2;0.5;31;1.0;0.5;21;3;6.0;69;1.0;0;1.0;6;2
2022-10-24;2;0.5;31;1.0;0.5;22;4;6.0;63;1.0;1;1.0;6;2
2022-10-31;2;2.0;30;1.0;0.5;22;4;8.0;61;1.0;1;1.0;8;0
2022-11-07;2;1.0;33;1.0;0.5;20;6;7.0;65;1.0;0;2.0;6;2
2022-11-14;2;0.5;29;0.5;0.5;19;5;5.0;49;1.0;2;1.0;5;2
2022-11-21;3;0.5;30;0.5;0.5;21;4;4.0;53;1.0;0;1.0;0;0
2022-11-28;3;0.5;30;0.5;0.5;20;3;3.0;47;1.0;0;1.0;0;2
2022-12-05;2;0.5;26;0.5;0.5;19;3;3.0;48;1.0;0;0.5;0;2
2022-12-12;2;1.0;25;0.5;0.5;18;2;3.0;37;0.5;0;0.5;0;0
2022-12-19;2;2.0;23;0.5;0.5;20;2;3.0;37;0.5;0;0.5;0;0
